year,category,count
2009,Home,145
2009,Money,222
2009,Social,5227
2009,Family,65
2009,Friends,57
2009,Colour,36
2010,She,675
2010,He,182
2010,CoreHe,182
2010,CoreShe,493
2010,Achiev,483
2010,Work,109
2010,Body,673
2010,See,421
2010,Hear,451
2010,Feel,444
2010,Health,322
2010,Leisure,682
2010,Home,147
2010,Money,166
2010,Social,4923
2010,Family,77
2010,Friends,80
2010,Colour,16
2011,She,598
2011,He,187
2011,CoreHe,187
2011,CoreShe,532
2011,Achiev,471
2011,Work,134
2011,Body,582
2011,See,678
2011,Hear,487
2011,Feel,601
2011,Health,335
2011,Leisure,745
2011,Home,118
2011,Money,243
2011,Social,4683
2011,Family,59
2011,Friends,74
2011,Colour,75
2012,She,416
2012,He,115
2012,CoreHe,115
2012,CoreShe,307
2012,Achiev,347
2012,Work,123
2012,Body,612
2012,See,483
2012,Hear,357
2012,Feel,486
2012,Health,280
2012,Leisure,513
2012,Home,113
2012,Money,174
2012,Social,4154
2012,Family,29
2012,Friends,64
2012,Colour,19
2013,She,416
2013,He,117
2013,CoreHe,117
2013,CoreShe,344
2013,Achiev,359
2013,Work,102
2013,Body,570
2013,See,563
2013,Hear,354
2013,Feel,459
2013,Health,255
2013,Leisure,562
2013,Home,135
2013,Money,215
2013,Social,4078
2013,Family,65
2013,Friends,41
2013,Colour,7
2014,She,542
2014,He,237
2014,CoreHe,237
2014,CoreShe,441
2014,Achiev,441
2014,Work,120
2014,Body,592
2014,See,447
2014,Hear,409
2014,Feel,477
2014,Health,261
2014,Leisure,579
2014,Home,147
2014,Money,187
2014,Social,4427
2014,Family,53
2014,Friends,37
2014,Colour,25
2015,She,632
2015,He,209
2015,CoreHe,209
2015,CoreShe,475
2015,Achiev,344
2015,Work,117
2015,Body,583
2015,See,443
2015,Hear,330
2015,Feel,389
2015,Health,299
2015,Leisure,504
2015,Home,163
2015,Money,334
2015,Social,4660
2015,Family,54
2015,Friends,55
2015,Colour,8
